step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
297,PAYMENT,13055.28,C508385511,0.0,0.0,M956027336,0.0,0.0,0,0
12,PAYMENT,616.88,C1013341637,107243.5,106626.62,M1942028884,0.0,0.0,0,0
236,CASH_OUT,107759.5,C1408936980,0.0,0.0,C1403087041,1507711.83,1615471.33,0,0
253,CASH_IN,18868.29,C1363041822,21137221.01,21156089.3,C1761313958,34831.61,15963.32,0,0
13,PAYMENT,4986.63,C1359889730,0.0,0.0,M1124177815,0.0,0.0,0,0
36,PAYMENT,17692.64,C1270549119,10268.0,0.0,M743266449,0.0,0.0,0,0
403,PAYMENT,7457.89,C2051931889,0.0,0.0,M2079068430,0.0,0.0,0,0
300,DEBIT,2262.52,C841098437,49271.0,47008.48,C1097907228,124780.0,127042.52,0,0
564,CASH_IN,67418.91,C1484852473,52181.0,119599.91,C170358894,1659195.46,1591776.55,0,0
254,PAYMENT,9414.76,C2023654274,5839.9,0.0,M210283336,0.0,0.0,0,0
206,PAYMENT,17485.51,C928494081,9339.0,0.0,M981647331,0.0,0.0,0,0
